username,email,role
jsmith,john.smith@airport.com,Manager
sjohnson,sarah.j@airport.com,Agent
dwilliams,david.w@airport.com,Supervisor
ebrown,emily.b@airport.com,Agent
mdavis,michael.d@airport.com,Manager
jmiller,jessica.m@airport.com,Agent
dwilson,daniel.w@airport.com,Support
omoore,olivia.m@airport.com,Agent
jtaylor,james.t@airport.com,Supervisor
sanderson,sophia.a@airport.com,Agent
bthomas,benjamin.t@airport.com,Support
ajackson,ava.j@airport.com,Agent
mwhite,matthew.w@airport.com,Manager
iharris,isabella.h@airport.com,Agent
cmartin,chris.m@airport.com,Supervisor
mthompson,mia.t@airport.com,Agent
agarcia,andrew.g@airport.com,Support
cmartinez,charlotte.m@airport.com,Agent
jrobinson,joshua.r@airport.com,Manager
aclark,amelia.c@airport.com,Agent
erodriguez,ethan.r@airport.com,Support
hlewis,harper.l@airport.com,Agent
alee,alexander.l@airport.com,Supervisor
ewalker,evelyn.w@airport.com,Agent
whall,william.h@airport.com,Manager
aallen,abigail.a@airport.com,Agent
syoung,samuel.y@airport.com,Support
eking,elizabeth.k@airport.com,Agent
jwright,jacob.w@airport.com,Supervisor
slopez,sofia.l@airport.com,Agent
